model,n_clients,comm_cost,target_dataset,accuracy,precision,recall,f1_score,frequency_true,frequency_pred
fedlr,10,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.0,huga,0.83,0.8723404255319149,0.9425287356321839,0.9060773480662984,0.87,0.94
fedlr,10,0.0,kdd,0.99,0.0,0.0,0.0,0.01,0.0
fedlr,10,0.0,spambase,1.0,1.0,1.0,1.0,1.0,1.0
fedlr,10,0.0125,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.0125,huga,0.71,0.711864406779661,0.7777777777777778,0.7433628318584071,0.54,0.59
fedlr,10,0.0125,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.0125,spambase,0.86,0.9583333333333334,0.6388888888888888,0.7666666666666667,0.36,0.24
fedlr,10,0.025,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.025,huga,0.85,0.75,0.17647058823529413,0.2857142857142857,0.17,0.04
fedlr,10,0.025,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.025,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.05,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.05,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.05,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.05,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.1,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.1,huga,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.1,kdd,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,10,0.1,spambase,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,20,0.0,adult,1.0,0.0,0.0,0.0,0.0,0.0
fedlr,20,0.0,huga,0.98,0.98,1.0,0.98989898989899,0.98,1.0
fedlr,20,0.0,kdd,1.0,0.0,0.0,0.0,0.0,0.0
